payment_id,gross,fee,gst,net,settled_at
PAY_000341,480.05,9.60,1.73,468.72,2025-02-05
PAY_000346,465.83,9.32,1.68,454.83,2025-02-05
PAY_000360,71.29,1.43,0.26,69.60,2025-02-05
PAY_000369,369.64,7.39,1.33,360.90,2025-02-05
PAY_000376,44.95,0.90,0.16,43.89,2025-02-05
PAY_000381,474.64,9.49,1.71,463.44,2025-02-05
PAY_000387,423.48,8.47,1.52,413.49,2025-02-05
PAY_000401,258.75,5.18,0.93,252.64,2025-02-05
PAY_000402,369.64,7.39,1.33,360.92,2025-02-05
PAY_000405,23.99,0.48,0.09,23.42,2025-02-05
PAY_000413,341.00,6.82,1.23,332.95,2025-02-05
PAY_000419,9.25,0.18,0.03,9.04,2025-02-05
PAY_000430,484.17,9.68,1.74,472.75,2025-02-05
PAY_000451,111.13,2.22,0.40,108.51,2025-02-05
PAY_000462,125.65,2.51,0.45,122.69,2025-02-05
PAY_000467,222.45,4.45,0.80,217.20,2025-02-05
PAY_000005,264.19,5.28,0.95,257.96,2025-02-06
PAY_000022,35.82,0.72,0.13,34.97,2025-02-06
PAY_000031,184.59,3.69,0.66,180.24,2025-02-06
PAY_000103,382.59,7.65,1.38,373.56,2025-02-06
PAY_000142,221.70,4.43,0.80,216.47,2025-02-06
PAY_000177,484.75,9.70,1.75,473.30,2025-02-06
PAY_000201,161.57,3.23,0.58,157.76,2025-02-06
PAY_000240,145.39,2.91,0.52,141.96,2025-02-06
PAY_000294,418.89,8.38,1.51,409.00,2025-02-06
PAY_000385,326.66,6.53,1.18,318.95,2025-02-06
PAY_000404,196.68,3.93,0.71,192.04,2025-02-06
PAY_000409,333.54,6.67,1.20,325.67,2025-02-06
PAY_000446,262.23,5.24,0.94,256.05,2025-02-06
PAY_000456,189.43,3.79,0.68,184.96,2025-02-06
PAY_000180,423.13,8.46,1.52,413.15,2025-02-10
PAY_000225,480.23,9.60,1.73,468.90,2025-02-10
PAY_000234,92.37,1.85,0.33,90.19,2025-02-10
PAY_000320,336.08,6.72,1.21,328.15,2025-02-10
PAY_000296,121.46,2.43,0.44,118.59,2025-02-11
PAY_000051,-402.84,0.00,0.00,-402.84,2025-01-22
PAY_000051,402.84,0.00,0.00,402.84,2025-02-04
PAY_000135,-148.78,-2.98,-0.54,-145.26,2025-02-11
PAY_000163,-119.75,-2.40,-0.43,-116.92,2025-02-11
PAY_000484,-460.39,0.00,0.00,-460.39,2025-01-31
PAY_000484,460.39,0.00,0.00,460.39,2025-02-04
PAY_000217,-218.05,-4.36,-0.78,-212.91,2025-02-11
PAY_000268,-228.92,-4.58,-0.82,-223.52,2025-01-30
PAY_000472,-66.41,-1.33,-0.24,-64.84,2025-01-30
PAY_000127,-330.98,-6.62,-1.19,-323.17,2025-02-04
PAY_000263,-461.84,0.00,0.00,-461.84,2025-02-04
PAY_000263,461.84,0.00,0.00,461.84,2025-02-11
PAY_000047,-449.25,-8.98,-1.62,-438.65,2025-01-31
PAY_000107,-368.99,-7.38,-1.33,-360.28,2025-02-04
PAY_000170,-318.15,0.00,0.00,-318.15,2025-02-04
PAY_000170,318.15,0.00,0.00,318.15,2025-02-06
PAY_000224,-261.47,-5.23,-0.94,-255.30,2025-01-30
PAY_000463,-271.55,-5.43,-0.98,-265.14,2025-02-04
PAY_000314,-253.52,-5.07,-0.91,-247.54,2025-01-24
PAY_000368,-365.81,-7.32,-1.32,-357.17,2025-01-30
PAY_000009,-420.20,-8.40,-1.51,-410.29,2025-02-06
PAY_000118,-332.32,-6.65,-1.20,-324.47,2025-02-11
PAY_000305,-417.19,0.00,0.00,-417.19,2025-01-31
PAY_000305,417.19,0.00,0.00,417.19,2025-02-06
PAY_000202,-250.65,0.00,0.00,-250.65,2025-01-31
PAY_000202,250.65,0.00,0.00,250.65,2025-02-11
PAY_000437,-349.29,-6.99,-1.26,-341.04,2025-02-04
PAY_000348,-361.49,0.00,0.00,-361.49,2025-01-30
PAY_000348,361.49,0.00,0.00,361.49,2025-02-06
PAY_000439,-275.04,-5.50,-0.99,-268.55,2025-02-04
PAY_000060,-220.93,-4.42,-0.80,-215.71,2025-02-06
PAY_000364,-245.12,-4.90,-0.88,-239.34,2025-02-11
PAY_000393,-18.12,-0.36,-0.06,-17.70,2025-02-11
PAY_000420,-145.87,-2.92,-0.53,-142.42,2025-02-06
PAY_000024,-339.61,-6.79,-1.22,-331.60,2025-02-06
PAY_000241,-126.75,-2.54,-0.46,-123.75,2025-02-06
PAY_000344,-223.70,-4.47,-0.80,-218.43,2025-02-04
PAY_000417,-427.47,0.00,0.00,-427.47,2025-02-06
PAY_000417,427.47,0.00,0.00,427.47,2025-02-11
PAY_000044,-384.39,0.00,0.00,-384.39,2025-02-06
PAY_000044,384.39,0.00,0.00,384.39,2025-02-11
PAY_000082,-210.14,-4.20,-0.76,-205.18,2025-02-11
PAY_000261,-97.76,0.00,0.00,-97.76,2025-02-06
PAY_000261,97.76,0.00,0.00,97.76,2025-02-11
PAY_000304,-483.56,-9.67,-1.74,-472.15,2025-02-11
PAY_000407,-389.44,-7.79,-1.40,-380.25,2025-02-11
PAY_000232,-5.24,-0.10,-0.02,-5.12,2025-02-11
